Name,Unit,Expression,Value,Comments,Favorite
pcb_dia,mm,64 mm,64.00,,false
tolerance_offset,mm,0.4 mm,0.40,,false
pcb_d_position,mm,29.219 mm,29.219,,false
pcb_thickness,mm,1.51 mm,1.51,,false
bottom_part_thickess,mm,2 mm,2.00,,false
outer_body_dia,mm,80 mm,80.00,,false
outer_body_curve,mm,4.5 mm,4.50,,false
bottom_part_height,mm,12.5 mm,12.50,,false
pcb_lip_thickness,mm,0.5 mm,0.50,,false
pcb_bottom_solder_pin_thickness,mm,1 mm,1.00,,false
pcb_support_height,mm,pcb_bottom_solder_pin_thickness + pcb_thickness,2.51,,false
pcb_inset,mm,1 mm,1.00,,false
usb_port_width,mm,11 mm,11.00,,false
usb_port_height,mm,4 mm,4.00,,false
usb_slot_width,mm,16 mm,16.00,,false
usb_slot_height,mm,8 mm,8.00,,false
usb_port_pos,mm,2.5 mm,2.50,,false
usb_slot_thickness,mm,1 mm,1.00,,false
led_strip_support_height,mm,led_strip_height - pcb_support_height + pcb_inset,10.99,,false
led_strip_height,mm,12.5 mm,12.50,,false
top_part_height,mm,5.1 mm,5.10,,false
top_part_curve,mm,4.5 mm,4.50,,false
top_part_thickness,mm,2 mm,2.00,,false
connector_ring_height,mm,1 mm,1.00,,false
connector_ring_thickness,mm,0.5 mm,0.50,,false
connector_ring_fillet,mm,1 mm,1.00,,false
pcb_d_circle_constraint_dia,mm,pcb_dia + 1 mm,65.00,,false
usb_port_adjustment,mm,pcb_inset,1.00,,false
oled_length,mm,35.25 mm,35.25,,false
oled_width,mm,24 mm,24.00,,false
oled_flex_len,mm,15 mm,15.00,,false
oled_display_len,mm,oled_length - 2.5 mm,32.75,,false
oled_display_width,mm,oled_width - 2.5 mm,21.50,,false
oled_inset,mm,top_part_thickness - 0.5 mm,1.50,,false
oled_flex_guide_len,mm,5 mm,5.00,,false
ir_tx_pos,mm,27.25 mm,27.25,,false
ir_tx_dia,mm,5.5 mm,5.50,,false
ir_tx_len,mm,5.5 mm,5.50,,false
ir_tx_slot_thickness,mm,0.4 mm,0.40,,false
ir_tx_top_curve,mm,2 mm,2.00,,false
ir_tx_slot_fillet,mm,1.5 mm,1.50,,false
ir_rx_pos,mm,28 mm,28.00,,false
ir_rx_len,mm,5.5 mm,5.50,,false
ir_rx_width,mm,4.5 mm,4.50,,false
ir_rx_slot_height,mm,5 mm,5.00,,false
ir_rx_slot_thickness,mm,0.6 mm,0.60,,false
ir_rx_inset,mm,top_part_thickness - 0.5 mm,1.50,,false
ir_rx_hole_len,mm,4 mm,4.00,,false
ir_rx_hole_width,mm,2 mm,2.00,,false
ir_rx_slot_fillet,mm,1.5 mm,1.50,,false
speaker_pos,mm,24 mm,24.00,,false
speaker_dia,mm,15 mm,15.00,,false
speaker_support,mm,1 mm,1.00,,false
speaker_inset,mm,top_part_thickness - 0.5 mm,1.50,,false
speaker_hole_len,mm,4 mm,4.00,,false
speaker_hole_width,mm,2 mm,2.00,,false
speaker_hole_pos,mm,4 mm,4.00,,false
speaker_support_inset,mm,top_part_thickness - 1.25 mm,0.75,,false
usb_slot_front_thickness,mm,0.5 mm,0.50,,false
oled_bottom_lip,mm,4 mm,4.00,,false
