Designator,Footprint,Quantity,Value,LCSC Part #
5V1,TestPoint_Pad_D1.0mm,1,VCC,
AMS1117,SOT-223-3_TabPin2,1,AMS1117-3.3,
BZR1,XDCR_CMT-7525-80-SMT-TR,1,CMT-7525,
"C1, C2, C5, C6, C7",0805,5,1µF,
C10,0805,1,2µF,
"C11, C8",0805,2,10µF,
"C3, C4",1206,2,10µF,
C9,0805,1,0.1µF,
CH340C1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,30,WS2812B-2020,
DISPTOUCH1,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,DispTouch,
DS1,OLED-128O064D,1,OLED-128O064D,
ESP1,ESP-12E,1,ESP-12F,
"IR_L1, IR_L2, IR_L3, IR_L4, IR_L5, IR_L6, IR_L7, IR_L8",LED_D3.0mm_IRBlack,8,IR204A,
IR_RECV1,Vishay_MINICAST-3Pin,1,TSOP382xx,
LRA1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Socket,
"MFT1, MFT2",SOT-23,2,AO3400A,
Q1,SOT-363_SC-70-6,1,UMH3N,
"R1, R2",1206,2,470,
"R10, R11, R12, R13, R14, R7, R8, R9",1210,8,43,
"R15, R5",1206,2,68,
"R16, R17, R18, R21, R6",1206,5,12000,
"R19, R20",0805,2,2200,
"R22, R23, R25",0805,3,10000,
R24,0805,1,390000,
"R3, R4",1206,2,5100,
SW1,SW_SPST_TS-1088-xR020,1,SW_Push,
TP9,TestPoint_Pad_D1.0mm,1,3V3,
T_D+1,TestPoint_Pad_D1.0mm,1,D+,
T_D-1,TestPoint_Pad_D1.0mm,1,D-,
T_D6,TestPoint_Pad_D1.0mm,1,D6,
T_D7,TestPoint_Pad_D1.0mm,1,D7,
T_GND1,TestPoint_Pad_D1.0mm,1,GND,
T_RX1,TestPoint_Pad_D1.0mm,1,RX,
T_TX1,TestPoint_Pad_D1.0mm,1,TX,
U1,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
USB1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
