Designator,Mid X,Mid Y,Rotation,Layer
AMS1117,168.4125,-118.0,180.0,top
BZR1,178.425,-100.825,270.0,top
C1,124.95,-99.0375,90.0,top
C2,122.6,-99.0375,90.0,top
C3,168.75,-113.0,180.0,top
C4,168.75,-123.0,0.0,top
CH340C1,150.075,-122.525,0.0,top
D1,141.506301,-136.037738,166.9,top
D10,116.808691,-83.433542,63.4,top
D11,120.775804,-77.170299,51.9,top
D12,125.911964,-71.823709,40.4,top
D13,132.010953,-67.608441,28.9,top
D14,138.827892,-64.693735,17.4,top
D15,146.089076,-63.196623,5.9,top
D16,153.502966,-63.177213,354.4,top
D17,160.771892,-64.636286,342.9,top
D18,167.603998,-67.515258,331.4,top
D19,173.724975,-71.698535,319.9,top
D2,134.490011,-133.642361,155.4,top
D20,178.889058,-77.01816,308.4,top
D21,182.888908,-83.260542,296.9,top
D22,185.563931,-90.175049,285.4,top
D23,186.806719,-97.484061,273.9,top
D24,186.567376,-104.894112,262.4,top
D25,184.85551,-112.107689,250.9,top
D26,181.739854,-118.835158,239.4,top
D27,177.345507,-124.806409,227.9,top
D28,171.848898,-129.781696,216.4,top
D29,165.470726,-133.561254,204.9,top
D3,128.092135,-129.896252,143.9,top
D30,158.467072,-135.993334,193.4,top
D4,122.569555,-124.949814,132.4,top
D5,118.143998,-119.001653,120.9,top
D6,114.993163,-112.290587,109.4,top
D7,113.243551,-105.086075,97.9,top
D8,112.96541,-97.677379,86.4,top
D9,114.169913,-90.36196,74.9,top
DISPTOUCH1,171.925,-80.75,90.0,top
ESP1,150.0,-99.55,0.0,top
IR_L1,137.73565300628934,-70.44350904089634,22.5,top
IR_L2,162.24587000628932,-70.43585595910366,337.5,top
IR_L3,179.57179895910366,-87.77260800628933,292.5,top
IR_L4,179.56414604089633,-112.24587000628934,247.5,top
IR_L5,162.24586999371067,-129.56414495910366,202.5,top
IR_L6,137.78552199371066,-129.57344804089635,157.5,top
IR_L7,120.43585504089634,-112.24586999371067,112.5,top
IR_L8,120.42655195910366,-87.78552199371067,67.5,top
IR_RECV1,149.96,-66.275,180.0,top
LRA1,129.5,-92.0,270.0,top
MFT1,170.6875,-100.7,180.0,top
MFT2,128.3125,-118.45,0.0,top
Q1,150.0,-115.7,270.0,top
R1,156.85,-117.1,0.0,top
R10,178.182013,-116.093159,337.5,top
R11,158.5,-131.25,292.5,top
R12,133.906841,-128.182013,247.5,top
R13,118.567987,-108.5,202.5,top
R14,121.817987,-83.906841,157.5,top
R15,170.5,-96.25,180.0,top
R16,162.3,-108.75,0.0,top
R17,137.7,-96.0,180.0,top
R18,162.3,-106.0,0.0,top
R19,129.85,-108.55,180.0,top
R2,156.8625,-114.4,0.0,top
R20,129.85,-106.05,180.0,top
R21,162.25,-103.25,0.0,top
R3,142.75,-124.2125,90.0,top
R4,157.25,-124.2125,90.0,top
R5,135.5,-119.05,270.0,top
R6,137.7,-100.0,0.0,top
R7,141.406841,-68.567987,112.5,top
R8,166.093159,-71.817987,67.5,top
R9,181.432013,-91.406841,22.5,top
SW1,142.75,-115.975,270.0,top
U1,128.2,-99.0,90.0,top
USB1,150.0,-136.68,0.0,top
